        ,WALNUT    ,EXPENSE                                             ,REPORT    ,                     ,       ,             ,                            ,
FROM    ,01-02-2016,TO                                                  ,31-07-2017

DATE    ,TIME      ,PLACE                                               ,AMOUNT    ,ACCOUNT              ,EXPENSE,CATEGORY     ,TAGS                        ,NOTE
12-02-16,12:00 PM  ,AIRTEL POSTPAID                                     ,466       ,CASH Spends          ,Yes    ,BILLS        ,#airtel                     ,
20-02-16,12:00 PM  ,DEADPOOL                                            ,125       ,CASH Spends          ,Yes    ,ENTERTAINMENT,"#Friends, #Office"         ,
20-02-16,12:00 PM  ,BURGER KING ECONO MEAL                              ,83        ,CASH Spends          ,Yes    ,FOOD & DRINKS,"#Friends, #Office"         ,
20-02-16,12:00 PM  ,MOTO X PLAY                                         ,"15,999"  ,CASH Spends          ,Yes    ,SHOPPING     ,                            ,
21-02-16,12:00 PM  ,SAMSUNG EVO+ 32 GB SD CARD                          ,706       ,CASH Spends          ,Yes    ,SHOPPING     ,                            ,
23-02-16,12:00 PM  ,THALI                                               ,120       ,CASH Spends          ,Yes    ,FOOD & DRINKS,                            ,
26-02-16,12:00 PM  ,TEMPER GLASS FOR MOTO X PLAY                        ,100       ,CASH Spends          ,Yes    ,SHOPPING     ,                            ,
27-02-16,10:36 PM  ,PARANTHA                                            ,40        ,CASH Spends          ,Yes    ,FOOD & DRINKS,                            ,
27-02-16,10:36 PM  ,OMLETTE                                             ,25        ,CASH Spends          ,Yes    ,FOOD & DRINKS,                            ,
28-02-16,08:13 PM  ,GARNIER HAIR COLOR                                  ,165       ,CASH Spends          ,Yes    ,GROCERIES    ,                            ,
29-02-16,09:53 PM  ,PANEER PARANTHA                                     ,50        ,CASH Spends          ,Yes    ,FOOD & DRINKS,                            ,
01-03-16,08:28 AM  ,ATM                                                 ,"1,500"   ,CitiBank debit 3226  ,Yes    ,             ,                            ,
01-03-16,09:21 AM  ,ABHIJEET RAI                                        ,"1,260"   ,CitiBank  3226       ,Yes    ,SHOPPING     ,                            ,Ref No CITIN16620025024
01-03-16,10:22 PM  ,PARANTHA                                            ,80        ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
05-03-16,12:00 PM  ,CHAWMIN + OMLETTE                                   ,30        ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
05-03-16,12:00 PM  ,DEW                                                 ,35        ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
05-03-16,12:00 PM  ,METRO RECHARGE                                      ,200       ,CASH Spends          ,No     ,TRAVEL       ,                            ,
05-03-16,12:00 PM  ,PARANTHA + CHAI                                     ,45        ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
05-03-16,08:09 PM  ,ATM                                                 ,"1,000"   ,CitiBank debit 3226  ,Yes    ,             ,                            ,
06-03-16,12:25 AM  ,AVENUES IND PVT LTD                                 ,125       ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
06-03-16,12:27 AM  ,AVENUES IND PVT LTD                                 ,129       ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
15-03-16,12:00 PM  ,MYNTRA SHOPPING                                     ,"2,642"   ,CASH Spends          ,Yes    ,SHOPPING     ,#Online                     ,
18-03-16,12:00 PM  ,TEMPERED GLASS AND BACK COVER                       ,200       ,CASH Spends          ,No     ,SHOPPING     ,                            ,
24-03-16,02:27 AM  ,BATMAN V SUPERMAN                                   ,"1,342.4" ,CitiBank debit 6302  ,Yes    ,ENTERTAINMENT,"#Online, #Friends, #Office",
24-03-16,03:54 AM  ,SMS CHARGE                                          ,5.37      ,SBI  4251            ,No     ,UNKNOWN      ,                            ,
24-03-16,07:08 PM  ,ATM                                                 ,700       ,CitiBank debit 3226  ,Yes    ,             ,                            ,
26-03-16,04:17 PM  ,THE HOST                                            ,"1,323"   ,CitiBank debit 6302  ,Yes    ,FOOD & DRINKS,                            ,Nishant wanted to have lunch at good place :/
27-03-16,08:44 PM  ,FOODPANDA                                           ,192       ,CitiBank debit 6302  ,Yes    ,FOOD & DRINKS,#Online                     ,
27-03-16,10:01 PM  ,LUNCH NOODLES AND OMLETTE                           ,50        ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
29-03-16,07:37 PM  ,BILLDESK                                            ,"8,076"   ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
02-04-16,06:36 PM  ,PEPPER TAP                                          ,200       ,PAYTM  Unknown       ,No     ,OTHER        ,#Online                     ,Transaction ID: 1846766802
02-04-16,06:38 PM  ,PAYTM MOBILR SOL                                    ,143       ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
03-04-16,11:01 AM  ,IRCTC                                               ,627.9     ,CitiBank debit 6302  ,Yes    ,TRAVEL       ,#Online                     ,
03-04-16,05:37 PM  ,NET BANKING                                         ,"1,500"   ,CitiBank  3226       ,No     ,UNKNOWN      ,                            ,IMPS Ref no 609417111041
03-04-16,05:42 PM  ,PAYTM NO                                            ,170       ,CitiBank debit 6302  ,Yes    ,GROCERIES    ,#Online                     ,
03-04-16,05:47 PM  ,PAYTM                                               ,30        ,PAYTM  Unknown       ,No     ,BILLS        ,#Online                     ,
04-04-16,02:30 AM  ,SMS CHARGE                                          ,9.63      ,SBI  4251            ,No     ,UNKNOWN      ,                            ,
10-04-16,10:12 PM  ,FAREWELL @ HELL 2 HEAVEN                            ,500       ,CASH Spends          ,No     ,ENTERTAINMENT,                            ,
10-04-16,10:13 PM  ,METRO RECHARGE                                      ,200       ,CASH Spends          ,No     ,BILLS        ,                            ,
11-04-16,06:23 PM  ,ATM                                                 ,400       ,CitiBank debit 3226  ,Yes    ,             ,                            ,
12-04-16,07:59 PM  ,MOBIKWIK GU                                         ,550       ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
14-04-16,04:27 PM  ,MOBIKWIK GU                                         ,200       ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
16-04-16,04:08 PM  ,CARL'S JR.                                          ,555       ,CitiBank debit 6302  ,Yes    ,FOOD & DRINKS,                            ,
17-04-16,06:21 PM  ,MOBIKWIK GU                                         ,222       ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
19-04-16,08:07 AM  ,MOBIKWIK NE                                         ,300       ,CitiBank debit 6302  ,Yes    ,BILLS        ,                            ,
22-04-16,07:33 AM  ,NET BANKING                                         ,"5,000"   ,Indian Bnk  1311     ,No     ,OTHER        ,                            ,Ref No. 611307003638
22-04-16,08:08 AM  ,ATM                                                 ,500       ,Indian Bnk debit 8131,Yes    ,             ,                            ,
23-04-16,02:14 PM  ,METRO RECHARGE                                      ,100       ,CASH Spends          ,No     ,BILLS        ,                            ,
23-04-16,02:14 PM  ,MCDONALDS SCHZWAN BURGER                            ,200       ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
